nPoints,nThreads,avgTimeSerial,avgTimeParallel,speedUp
100000,1,0.097106,0.088541,1.097
100000,4,0.063171,0.029918,2.111
100000,8,0.072140,0.021162,3.409
100000,16,0.102966,0.025373,4.058
200000,1,0.188758,0.141984,1.329
200000,4,0.191433,0.112084,1.708
200000,8,0.147842,0.047716,3.098
200000,16,0.174518,0.029009,6.016
300000,1,0.229611,0.250300,0.917
300000,4,0.255771,0.109116,2.344
300000,8,0.193742,0.056179,3.449
300000,16,0.278580,0.055935,4.980
400000,1,0.303866,0.422456,0.719
400000,4,0.293521,0.151944,1.932
400000,8,0.351783,0.066189,5.315
400000,16,0.300975,0.067025,4.490
600000,1,0.657578,0.495545,1.327
600000,4,0.444667,0.255699,1.739
600000,8,0.559865,0.131509,4.257
600000,16,0.608762,0.093632,6.502
800000,1,0.655738,0.771372,0.850
800000,4,0.717847,0.367302,1.954
800000,8,0.791003,0.199400,3.967
800000,16,0.749311,0.137663,5.443
1000000,1,1.023774,1.109636,0.923
1000000,4,0.941896,0.422094,2.231
1000000,8,0.956904,0.249169,3.840
1000000,16,0.842347,0.225481,3.736
